"","Domain","EIN","Name","TwitterHandle"
"91","achaheart.org","43447959","ADULT CONGENITAL HEART ASSOCIATION","ACHA_Heart"
"92","achieva.info","232947828","THE FAMILY TRUST","ACHIEVA"
"93","achieva.info","251505216","ACHIEVA","ACHIEVA"
"94","achieva.info","251031932","ACHIEVA SUPPORT","ACHIEVA"
"95","achieva.info","251101644","THE ARC OF GREATER PITTSBURGH","ACHIEVA"
"96","achievabledream.org","541621932","AN ACHIEVABLE DREAM INC","AchievableDream"
"97","achievabledream.org","261392573","ACHIEVABLE DREAM ENDOWMENT INC","AchievableDream"
"98","achievabledream.org","541682144","AN ACHIEVABLE DREAM MIDDLE AND HIGH SCHOOL INC","AchievableDream"
"99","achievementcenters.org","340714766","ACHIEVEMENT CENTERS FOR CHILDREN","achievementctrs"
"100","achievementfirst.org","205196171","ELM CITY COLLEGE PREPARATORY INC","achievement1st"
"101","achievementfirst.org","651203744","ACHIEVEMENT FIRST INC","achievement1st"
"102","achievementfirst.org","61546695","AMISTAD ACADEMY INC CO ACHIEVEMENT FIRST INC","achievement1st"
"103","achievementfirst.org","371543858","ACHIEVEMENT FIRST BRIDGEPORT ACADEMY INC","achievement1st"
"104","achieveny.org","150619307","NYSARC INCBROOME-TIOGA COUNTY CHAPTER","ACHIEVENY"
"105","achillesinternational.org","133318293","ACHILLES INTERNATIONAL INC","Fucile74"
"106","acknowledgealliance.org","770393676","CLEO EULAU CENTER FOR CHILDREN AND ADOLESCENTS","AcknowledgeAll"
"107","aclu-ia.org","421002093","AMERICAN CIVIL LIBERTIES UNION FOUNDATION OF IOWA","ACLUiowa"
"108","aclu-il.org","362682569","THE ROGER BALDWIN FOUNDATION OF ACLU INC","ACLUofIL"
"109","aclu-md.org","237209538","ACLU FOUNDATION OF MARYLAND INC","edaclumd"
"110","aclu-mn.org","416050012","Minnesota Civil Liberties Union","ACLUMN"
"111","acluaz.org","237238580","ACLU FOUNDATION OF ARIZONA","ACLUaz"
"112","acluct.org","60871754","AMERICAN CIVIL LIBERTIES UNION","DavidMcGuireEsq"
"113","aclumich.org","237243421","AMERICAN CIVIL LIBERTIES UNION FUND OF MICHIGAN","ACLUofMichigan"
"114","aclunc.org","940279770","American Civil Liberties Union","NicoleOzer"
"115","acphs.edu","141423161","ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES","ACPHSAdmissions"
"116","acrefamily.org","43036200","ACRE FAMILY CHILD CARE INC","AcreFCC_Lowell"
"117","acs-teens.org","510192551","ADOLESCENT COUNSELING SERVICES","acsteens"
"118","acsa.org","942702741","FOUNDATION FOR EDUCATIONAL ADMINISTRATION","margieacsa"
"119","acsatl.org","581675299","ATLANTA CHILDREN'S SHELTER INCORPORATED","ACSEvents"
"120","acsh.org","132911127","AMERICAN COUNCIL ON SCIENCE & HEALTH","ACSHorg"
"121","acsz.org","135645878","AMERICAN COMMITTEE FOR SHAARE ZEDEK","ShaareZedekUS"
"122","act-sf.org","946135772","AMERICAN CONSERVATORY THEATRE FOUNDATION","ACTSanFrancisco"
"123","act-today.org","201424642","ACT TODAY","Act_Today"
"124","act.org","420841485","ACT INC","natescheib"
"125","actforchildren.org","362712912","Illinois Action for Children","IAFC_Cares"
"126","actionforchildren.org","310820393","ACTION FOR CHILDREN","Act4Kidz"
"127","actionforhealthykids.org","470902020","ACTION FOR HEALTHY KIDS","Act4HlthyKids"
"128","actorsfund.org","131635251","The Actors' Fund of America","TheActorsFund"
"129","actservices.org","431069698","ALTERNATIVE COMMUNITY TRAINING INC","ACTofCoMo"
"130","acuho-i.org","311243003","ASSOC OF COLLEGE & UNIV HOUSING","ACUHOI"
"131","acumen.org","134166228","ACUMEN FUND INC","Acumen"
"132","acy.org","521555895","ADVOCATES FOR CHILDREN AND YOUTH INC","MarylandACY"
"133","adaa.org","521248820","ANXIETY AND DEPRESSION ASSOCIATION","ADAAConference"
"134","adamsarts.org","232735477","ADAMS COUNTY ARTS COUNCIL","AdamsCoArts"
"135","adaptedsports.org","582269184","American Association of Adapted Sports Programs Inc","AdaptedSports"
"136","adaptiveadventures.org","841512653","ADAPTIVE ADVENTURES","adaptadventures"
"137","adaptivedesign.org","134170232","ADAPTIVE DESIGN ASSOCIATION INC","AdaptiveDesign"
"138","adaptivelearningcenter.org","581485225","The Adaptive Learning Center for Infants","alckids"
"139","adaptivesports.org","841063447","Adaptive Sports Center of Crested Butte Inc","AdaptiveCB"
"140","adcglobal.org","130448930","THE ART DIRECTORS CLUB INC","ADCGlobal"
"141","adcouncil.org","130417693","THE ADVERTISING COUNCIL INC","AdCouncil"
"142","addisontrust.org","223032009","ADDISON COUNTY COMMUNITY TRUST INC","AddisonTrust"
"143","adk.org","150586270","ADIRONDACK MOUNTAIN CLUB INC","ADKmtnclub"
"144","adl.org","131818723","Anti-Defamation League","ADL_National"
"145","adltexas.org","746002033","ANIMAL DEFENSE LEAGUE of TEXAS","ADLofTX"
"146","adolescenthealth.org","237035351","SOCIETY FOR ADOLESCENT HEALTH","SAHMtweets"
"147","adopt.org","232484926","ADOPTION CENTER OF DELAWARE VALLEY","NatAdoptCenter"
"148","adoptaclassroom.org","650828272","ADOPT-A-CLASSROOM INC","Adopt_classroom"
"149","adoptamericanetwork.org","341396924","ADOPT AMERICA NETWORK","Adopt_America"
"150","adoptioncouncil.org","751721671","NATIONAL COUNCIL FOR ADOPTION","AdoptionCouncil"
"151","adultenrichmentcenters.org","570812738","YORK COUNTY ADULT DAY CARE INC","AEC_YorkCounty"
"152","advancingjustice-aajc.org","133619000","ASIAN AMERICANS ADVANCING JUSTICE","AAAJ_AAJC"
"153","advancingjustice-la.org","953854152","Asian Americans Advancing Justice - Los","AAAJ_LA"
"154","advantageccs.org","251201741","ADVANTAGE CREDIT COUNSELING SERVICEINC","AdvantageCCS"
"155","adventisthealth.org","453220509","Reedley Community Hospital","GAMChealth"
"156","adventisthealth.org","941639901","Ukiah Adventist Hospital","GAMChealth"
"157","adventisthealth.org","680108919","Willits Hospital Inc","GAMChealth"
"158","adventisthealth.org","680395149","Adventist Health Clearlake Hospital Inc","GAMChealth"
"159","adventisthealth.org","940535360","Hanford Community Hospital","GAMChealth"
"160","adventisthealth.org","941101228","Feather River Hospital","GAMChealth"
"161","adventisthealth.org","953899682","Glendale Adventist Medical Center Fdtn","GAMChealth"
"162","adventisthealth.org","956064971","Simi Valley Hosp & Hlth Care Serv","GAMChealth"
"163","adventisthealthcare.com","205479860","ADVENTIST BEHAVIORAL HEALTH FOUNDATION INC","AdventistHC"
"164","adventisthealthcare.com","204600646","ADVENTIST PHYSICIAN SERVICES INC","AdventistHC"
"165","adventisthealthcare.com","521255870","REGINALD S LOURIE CENTER FOR INFANTS","AdventistHC"
"166","adventuresci.org","620479192","ADVENTURE SCIENCE CENTER - NASHVILLE","adventuresci"
"167","adventuretheatre-mtc.org","526054621","ADVENTURE THEATRE INC","Adventure_MTC"
"168","advisingcorps.org","461192687","COLLEGE ADVISING CORPS INC","AdvisingCorps"
"169","advocatehealth.com","262525968","ADVOCATE CONDELL MEDICAL CENTER","advocatehealth"
"170","advocatehealth.com","363330085","SHERMAN HOME HEALTH CARE CORPORATION","advocatehealth"
"171","advocatehealth.com","363196629","ADVOCATE NORTH SIDE HEALTH NETWORK","advocatehealth"
"172","advokids.org","943157218","ADVOKIDS","AdvokidsCA"
"173","aerbvi.org","541255600","ASSN FOR EDUCATION AND REHABILITATION","AERBVI"
"174","aeth.org","582022462","Asociacion para la Educacion Teologica Hispana Inc","AethOrg"
"175","afa.org","42943345","AIR FORCE ASSOCIATION","AirForceAssoc"
"176","afac.org","541473207","Arlington Food Assistance Center","Spaethship"
"177","afcea.org","541115312","THE AFCEA EDUCATIONAL FOUNDATION","jontz_signalmag"
"178","affiniahealthcare.org","430817642","Affinia Healthcare","AffiniaHealth"
"179","affordable-housing.org","330489568","AFFORDABLE HOUSING CLEARINGHOUSE","AHCOrg"
"180","afftoneducationfoundation.org","202487382","AFFTON EDUCATION FOUNDATION","afftoneducation"
"181","afgeorgia.org","133797759","AMERICAN FRIENDS OF GEORGIA INC","AFofGeorgia"
"182","afhu.org","131568923","American Friends of Hebrew University Inc","AmFriendsHU"
"183","afppbc.org","650330522","ASSOCIATION OF FUNDRAISING PROFESSIONALS","AFPPBC"
"184","africare.org","237116952","AFRICARE","Africare"
"185","afropop.org","521490194","WORLD MUSIC PRODUCTIONS","afropopww"
"186","afscenter.org","953463975","ALZHEIMER'S FAMILY SERVICES CENTER","AFSCenterHB"
"187","afsusa.org","391711417","AFS-USA INC","AFSUSA"
"188","afterschoolallstars.org","954441208","AFTER SCHOOL ALL-STARS","ASASafterschool"
"189","afterschoolmatters.org","364409182","AFTER SCHOOL MATTERS INC","AftrSchoolMttrs"
"190","afwa.org","201424537","THE FOUNDATION OF ACCOUNTING","AFWANational"
"191","agapewebsite.org","943100052","AGAPE INTERNATIONAL MISSIONS","AgapeIntMission"
"192","agassifoundation.org","341759295","ANDRE AGASSI FOUNDATION FOR EDUCATION","AAFforE"
"193","ageoptions.org","362806193","AGEOPTIONS INC","AgeOptions"
"194","aggbgc.org","630514348","A G GASTON BOYS & GIRLS CLUB INC","AGGaston_AGGBGC"
"195","agif-nvop.org","742463413","American GI Forum Villa Alegre","AGIFNVOP"
"196","agif-nvop.org","742766000","American GI Forum Casa De Amistad Inc","AGIFNVOP"
"197","agif-nvop.org","742033203","American GI Forum National Veterans","AGIFNVOP"
"198","agiftforteaching.org","593515162","A GIFT FOR TEACHING INC","agift4teaching"
"199","agingtrue.org","237024899","URBAN JACKSONVILLE INC","AgingTrue"
"200","agrace.org","391319537","Agrace HospiceCare Inc","AgraceHospice"
"201","agronomy.org","390808552","AMERICAN SOCIETY OF AGRONOMY","NatSciEdu"
"202","agronomy.org","396108542","AGRONOMIC SCIENCE FOUNDATION INC","NatSciEdu"
"203","agsafe.org","680259724","AGSAFE","AgSafeOnline"
"204","ahp.org","237359389","AHP FOUNDATION","AHPIntl"
"205","ahrc.org","237057568","NASSAU COMMUNITY MENTAL RETARDATION SERVICES COMPANY INC","AHRCNassau"
"206","ahrc.org","111720254","NYSARC INC-NASSAU COUNTY CHAPTER","AHRCNassau"
"207","ahrcnyc.org","203974791","SUPERIOR DIRECT CARE INC","AHRCNYC"
"208","aiar.org","237083811","THE WILLIAM FOXWELL ALBRIGHT INSTITUTE","AIAResearch"
"209","aicr.org","521238026","AMERICAN INSTITUTE FOR CANCER RESEARCH","aicrtweets"
"210","aids-services.com","570905550","LOWCOUNTRY AIDS SERVICES","LowcountryAIDS"
"211","aidscareos.org","222929749","AIDS Care Ocean State Inc","AIDSCAREOS"
"212","aidschicago.org","363412054","AIDS FOUNDATION OF CHICAGO","AIDSChicago"
"213","aifdemocracy.org","710940051","The American Islamic Forum for Democracy","AIFDemocracy"
"214","aigcs.org","850222386","AMERICAN INDIAN GRADUATE CENTER INC","AIGC1"
"215","aimatmelanoma.org","562427805","AIM AT MELANOMA","AIMatMelanoma"
"216","aimgr.org","383133483","ALTERNATIVES IN MOTION","altinmotion"
"217","aimhighstl.org","431582098","AIM HIGH ST LOUIS","AimHighStLouis"
"218","aimsmddc.org","237007087","ASSOCIATION OF INDEPENDENT MD SCHOOLS","aimsmddc"
"219","airzoo.org","263537678","AIR ZOO LEGACY FOUNDATION","Air_Zoo"
"220","ajc.org","237389215","INSTITUTE OF HUMAN RELATIONS OF THE AMERICAN JEWISH COMMITTEE","ajcaccess"
"221","aje-dc.org","521989809","ADVOCATES FOR JUSTICE AND EDUCATION INC","AJEInc"
"222","ajga.org","581433914","American Junior Golf Association Inc","AJGAFellwock"
"223","ajh.org","43318952","ANNA JAQUES COMMUNITY HEALTH FOUNDATION","AnnaJaques"
"224","ajh.org","42104338","ANNA JAQUES HOSPITAL INC","AnnaJaques"
"225","ajh.org","43485648","SEACOAST AFFILIATED GROUP PRACTICES INC","AnnaJaques"
"226","akcreunite.org","133904402","AMERICAN KENNEL CLUB COMPANION","akcreunite"
"227","akhf.org","920042123","ALASKA HUMANITIES FORUM","akhumanities"
"228","akronartmuseum.org","340813426","AKRON ART MUSEUM","AkronArtMuseum"
"229","akronchildrens.org","340714357","Children's Hospital Medical Center of Akron","AkronChildrens"
"230","akrongeneral.org","341127047","AKRON GENERAL FOUNDATION","MyAkronGeneral"
"231","akrongeneral.org","341843403","PARTNERS PHYSICIAN GROUP","MyAkronGeneral"
"232","akronsymphony.org","341635435","GREATER AKRON MUSICAL ASSOCIATION FOUNDATION","akronsymphony"
"233","akronymca.org","340714727","YOUNG MEN'S CHRISTIAN ASSOCIATION OF AKRON INC","BBID10"
"234","akronymca.org","346557819","ROTARY CAMP FOR CHILDREN WITH SPECIAL NEEDS INC","BBID10"
"235","alabamalawfoundation.org","630951482","ALABAMA LAW FOUNDATION INC","ALLawFoundation"
"236","alachuahabitat.org","592750078","ALACHUA HABITAT FOR HUMANITY INC","alachuahabitat"
"237","alaskanaids.org","920113788","Alaskan AIDS Assistance Association","AlaskanAIDS"
"238","alaskanative.net","920127531","ALASKA NATIVE HERITAGE CENTER INC","ANHC"
"239","albany.edu","263787503","THE STUDENT ASSOCIATION AT THE STATE","socialworkersfm"
"240","albany.edu","141503972","UNIVERSITY AT ALBANY FOUNDATION","ualbanyalumni"
"241","albanypromusica.org","222428967","Albany Pro Musica Inc","albanypromusica"
"242","albertus.edu","60646520","ALBERTUS MAGNUS COLLEGE","AlbertusSocial"
"243","albieaware.org","421632678","ALBIE AWARE INCORPORATED","AlbieAware"
"244","albion.edu","381359081","ALBION COLLEGE","albioncollege"
"245","aldrichart.org","66069965","THE ALDRICH CONTEMPORARY ART MUSEUM INC","TheAldrich"
"246","alexanderyouthnetwork.org","560554413","ALEXANDER YOUTH NETWORK","AlexanderInfo"
"247","alexslemonade.org","562496146","ALEXS LEMONADE STAND FOUNDATION","AlexsLemonade"
"248","algalita.org","330657882","Algalita Marine Research & Education","Algalita"
"249","ali.org","231352013","AMERICAN LAW INSTITUTE","AmLawInst"
"250","alicepeckday.org","20222791","Alice Peck Day Memorial Hospital","APDHospital"
"251","alisalliance.org","800695649","ALIS ALLIANCE INC","AlisAlliance"
"252","all4kids.org","261859422","ALL 4 KIDS","ChildrensBureau"
"253","all4kids.org","951690975","CHILDREN'S BUREAU OF SO CALIFORNIA","ChildrensBureau"
"254","all4kids.org","510665638","OAKWOOD FAMILY RESOURCE CENTER","ChildrensBureau"
"255","alleghenylandtrust.org","251718611","ALLEGHENY LAND TRUST","AlleghenyLandTr"
"256","allenneighborhoodcenter.org","383502484","ALLEN NEIGHBORHOOD CENTER","AllenNbCenter"
"257","allentownsd.org","270743152","ALLENTOWN SCHOOL DISTRICT FOUNDATION","asdcentral"
"258","allentownsymphony.org","236272140","ALLENTOWN SYMPHONY ASSOCIATION","atownsymphony"
"259","allenuniversity.edu","570341191","Allen University","AllenUniv"
"260","alleycat.org","521742079","ALLEY CAT ALLIES INC","alleycatallies"
"261","allfaithsfoodbank.org","650115814","All Faiths Food Bank Inc","AllFaithsFoodBa"
"262","allianceforpeacebuilding.org","141870482","Alliance for Peacebuilding","AfPeacebuilding"
"263","allianceforsafekids.org","204725702","ALLIANCE FOR SAFE KIDS INC","ASK_Yorktown"
"264","allied-services.org","232523688","ALLIED SERVICES SKILLED NURSING CENTER","AlliedServices_"
"265","allied-services.org","232862231","ALLIED SERVICES PERSONAL CARE INC","AlliedServices_"
"266","allied-services.org","240860110","ALLIED HEALTH CARE SERVICES","AlliedServices_"
"267","allied-services.org","232262852","JOHN HEINZ INSTITUTE OF REHABILITATION MEDICINE","AlliedServices_"
"268","alliedmedia.org","10559608","ALLIED MEDIA PROJECTS INC","Allied_Media"
"269","allinahealth.org","411952989","COURAGE KENNY FOUNDATION","dohauxiliary"
"270","allinahealth.org","411613017","PHILLIPS EYE INSTITUTE FOUNDATION","dohauxiliary"
"271","allinahealth.org","363261413","ALLINA HEALTH SYSTEM","dohauxiliary"
"272","allinahealth.org","411987372","REGINA FOUNDATION","dohauxiliary"
"273","allinahealth.org","43643816","ABBOTT NORTHWESTERN HOSPITAL FOUNDATION","dohauxiliary"
"274","allindiamission.com","330421940","ALL INDIA MISSION","allindiamission"
"275","allmep.org","205879279","ALLIANCE FOR MIDDLE EAST PEACE INC","ALLMEP_usa"
"276","alloutadventures.org","43559633","ALL OUT ADVENTURES INC","AOANorthampton"
"277","allpeoplescc.org","952669400","All Peoples Christian Center","AllPeoplesLA"
"278","allsatorescue.org","660720910","ALL SATOS RESCUE INC","AllSatoRescue"
"279","allstonbrightoncdc.org","42716278","ALLSTON BRIGHTON COMMUNITY DEVELOPMENT CORPORATION","AllstnBrightCDC"
"280","allysonwhitney.org","454231236","ALLYSON WHITNEY FOUNDATION INC","Allyson4Rare"
"281","alma.edu","381359083","ALMA COLLEGE","almacollege"
"282","almosthomestl.org","431645686","Almost Home","AlmostHomeSTL"
"283","alphacenterfriends.com","363347022","ALPHA CENTER","AlphaCenter"
"284","alphachiomega.org","310949882","ALPHA CHI OMEGA FOUNDATION INC","AlphaChiOmegaHQ"
"285","alphagammarho.org","366158409","EDUCATIONAL FOUNDATION OF ALPHA GAMMA RHO","AlphaGammaRho"
"286","alphahouseoftampa.org","592655523","Alpha House of Tampa Inc","alphahousetampa"
"287","alphasigmaalpha.org","431430061","ALPHA SIGMA ALPHA FOUNDATION","asaHQ"
"288","alphasigmalambda.org","237097804","ALPHA SIGMA LAMBDA","ASLHonorSociety"
"289","alphasigmaphi.org","141908351","ALPHA SIGMA PHI FOUNDATION INC","alphasigs"
"290","alsa-ec.org","911950869","Amyotrophic Lateral Sclerosis Associatio","ALSA_EC"
"291","alsa-or.org","680516066","The ALS Association Oregon and","ALSAofORSWWA"
"292","alsafl.org","943124732","AMYOTROPHIC LATERAL SCLEROSIS","ALSFlorida"
"293","alsaga.org","581943490","ALS Association of Georgia Inc","ALSAGeorgia"
"294","altamed.org","952810095","ALTAMED HEALTH SERVICES CORPORATION","AltaMed_AMF"
"295","altarum.org","383580694","Altarum Supporting Organization Inc","Altarum"
"296","alternatives4children.org","112933851","ALTERNATIVES FOR CHILDREN","Alts4Children"
"297","alternativesinaction.org","943210413","ALTERNATIVES IN ACTION","AIAYouthPower"
"298","alumni.fsu.edu","590705420","THE FLORIDA STATE UNIVERSITY ALUMNI ASSOCIATION","SeminoleClubs"
"299","alumni.georgetown.edu","521170825","GEORGETOWN UNIVERSITY ALUMNI ASSOCIATION","GUAlumni"
"300","alumni.gwu.edu","521437464","THE GEORGE WASHINGTON ALUMNI ASSOCIATION","GWLatinoAlumni"
"301","alumni.indiana.edu","237056162","INDIANA UNIVERSITY ALUMNI ASSOCIATION INC","IUAATricia"
"302","alumni.uc.edu","311309846","UNIVERSITY OF CINCINNATI ALUMNI","uofcincyalumni"
"303","alumni.uci.edu","237237163","UCI ALUMNI ASSOCIATION","UCIAA"
"304","alwaysdream.org","943255817","The Kristi Yamaguchi","AlwaysdreamFDN"
"305","alz.org","411361624","ALZHEIMER'S DISEASE AND RELATED DISORDERS","alzheimersRI"
"306","alz.org","112637292","ALZHEIMERS DISEASE RESOURCE CENTER INC","alzassociation"
"307","alz.org","431237069","ALZHEIMER'S DISEASE & RELATED DISORDERS","alzheimersRI"
"308","alz.org","561440727","Alzheimers Association","alzassociation"
"309","alz.org","953565388","ALZHEIMER'S DISEASE AND RELATED","alzheimersRI"
"310","alzalliance.org","752486061","ALZHEIMERS ALLIANCE OF NORTHEAST TEXAS","alzalliance"
"311","alzfdn.org","911792864","ALZHEIMER'S FOUNDATION OF AMERICA","alzfdn"
"312","alznet.org","571191574","ALZHEIMERS NETWORK OF OREGON","AlzNetOR"
"313","alzwisc.org","391679333","ALZHEIMER'S & DEMENTIA ALLIANCE OF WI INC","alzwisc"
"314","ama-atlanta.com","581283332","Atlanta Chapter of the American Marketing Association","AMAAtlanta"
"315","amazingthings.org","201332310","Amazing Things Art Center Inc","AmazingThingsAC"
"316","amazonconservation.org","522211305","AMAZON CONSERVATION ASSOCIATION","ACA_DC"
"317","ambercharter.org","134119814","AMBER CHARTER SCHOOL","AmberCharter"
"318","amblertheater.org","233077859","AMBLER THEATER INC","amblertheater"
"319","amc.edu","141468380","ALBANY MEDICAL COLLEGE ALUMNI ASSOC INC","AlbanyMed"
